"filename", "language", "XML", "JSON", "Markdown", "JavaScript", "JavaScript JSX", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"c:\Users\Digiyol.com\Desktop\fallah-project\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\Digiyol.com\Desktop\fallah-project\next.config.mjs", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 1, 2, 16
"c:\Users\Digiyol.com\Desktop\fallah-project\package-lock.json", "JSON", 0, 7171, 0, 0, 0, 0, 0, 0, 1, 7172
"c:\Users\Digiyol.com\Desktop\fallah-project\package.json", "JSON", 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\Digiyol.com\Desktop\fallah-project\postcss.config.mjs", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\Digiyol.com\Desktop\fallah-project\public\file.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Digiyol.com\Desktop\fallah-project\public\globe.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Digiyol.com\Desktop\fallah-project\public\next.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Digiyol.com\Desktop\fallah-project\public\vercel.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Digiyol.com\Desktop\fallah-project\public\window.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Digiyol.com\Desktop\fallah-project\utils\areaChartData.js", "JavaScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 4, 87
"c:\Users\Digiyol.com\Desktop\fallah-project\utils\fetchOrders.js", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 5, 23
"c:\Users\Digiyol.com\Desktop\fallah-project\utils\fetchProducts.js", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 1, 7, 28
"c:\Users\Digiyol.com\Desktop\fallah-project\utils\fetchProductsPage.js", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"c:\Users\Digiyol.com\Desktop\fallah-project\utils\locations.js", "JavaScript JSX", 0, 0, 0, 0, 398, 0, 0, 0, 1, 399
"c:\Users\Digiyol.com\Desktop\fallah-project\utils\mokaProducts.js", "JavaScript JSX", 0, 0, 0, 0, 170, 0, 0, 0, 1, 171
"c:\Users\Digiyol.com\Desktop\fallah-project\utils\mokaSaleHistory.js", "JavaScript JSX", 0, 0, 0, 0, 102, 0, 0, 0, 1, 103
"c:\Users\Digiyol.com\Desktop\fallah-project\utils\productDetail.js", "JavaScript JSX", 0, 0, 0, 0, 66, 0, 0, 0, 5, 71
"c:\Users\Digiyol.com\Desktop\fallah-project\utils\rugsLink.js", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"c:\Users\Digiyol.com\Desktop\fallah-project\utils\validators.js", "JavaScript JSX", 0, 0, 0, 0, 66, 0, 0, 0, 18, 84
"Total", "-", 40, 7201, 23, 38, 3775, 7, 33, 52, 435, 11604
